"initial_alias","converted_alias","name","description","namespace"
"FCER1G","2207","FCER1G","Fc epsilon receptor Ig [Source:HGNC Symbol;Acc:HGNC:3611]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"SUDS3","64426","SUDS3","SDS3 homolog, SIN3A corepressor complex component [Source:HGNC Symbol;Acc:HGNC:29545]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"V1-9","None","None","None",""
"RDH10","157506","RDH10","retinol dehydrogenase 10 [Source:HGNC Symbol;Acc:HGNC:19975]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"CHRNB2","1141","CHRNB2","cholinergic receptor nicotinic beta 2 subunit [Source:HGNC Symbol;Acc:HGNC:1962]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"RAB18","22931","RAB18","RAB18, member RAS oncogene family [Source:HGNC Symbol;Acc:HGNC:14244]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"TNFRSF4","7293","TNFRSF4","TNF receptor superfamily member 4 [Source:HGNC Symbol;Acc:HGNC:11918]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"IGFALS","3483","IGFALS","insulin like growth factor binding protein acid labile subunit [Source:HGNC Symbol;Acc:HGNC:5468]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"MATK","4145","MATK","megakaryocyte-associated tyrosine kinase [Source:HGNC Symbol;Acc:HGNC:6906]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"UBE4B","10277","UBE4B","ubiquitination factor E4B [Source:HGNC Symbol;Acc:HGNC:12500]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"AP3D1","8943","AP3D1","adaptor related protein complex 3 subunit delta 1 [Source:HGNC Symbol;Acc:HGNC:568]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"LHPP","64077","LHPP","phospholysine phosphohistidine inorganic pyrophosphate phosphatase [Source:HGNC Symbol;Acc:HGNC:30042]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"ATP2C2","9914","ATP2C2","ATPase secretory pathway Ca2+ transporting 2 [Source:HGNC Symbol;Acc:HGNC:29103]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"UBE2V2","7336","UBE2V2","ubiquitin conjugating enzyme E2 V2 [Source:HGNC Symbol;Acc:HGNC:12495]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"SAXAGLIPTIN","None","None","None",""
"DIAP1","None","None","None",""
"PPP1R1A","5502","PPP1R1A","protein phosphatase 1 regulatory inhibitor subunit 1A [Source:HGNC Symbol;Acc:HGNC:9286]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"OR2T2","401992","OR2T2","olfactory receptor family 2 subfamily T member 2 [Source:HGNC Symbol;Acc:HGNC:14725]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"GRP","2922","GRP","gastrin releasing peptide [Source:HGNC Symbol;Acc:HGNC:4605]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"GRP","221044","UCMA","upper zone of growth plate and cartilage matrix associated [Source:HGNC Symbol;Acc:HGNC:25205]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"NAV2","89797","NAV2","neuron navigator 2 [Source:HGNC Symbol;Acc:HGNC:15997]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"OR5H15","403274","OR5H15","olfactory receptor family 5 subfamily H member 15 [Source:HGNC Symbol;Acc:HGNC:31287]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"PPP2R3C","55012","PPP2R3C","protein phosphatase 2 regulatory subunit B''gamma [Source:HGNC Symbol;Acc:HGNC:17485]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"UPF3B","65109","UPF3B","UPF3B regulator of nonsense mediated mRNA decay [Source:HGNC Symbol;Acc:HGNC:20439]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"FABP2","2169","FABP2","fatty acid binding protein 2 [Source:HGNC Symbol;Acc:HGNC:3556]","ENTREZGENE,GENECARDS,HGNC,WIKIGENE"
"HSPA1A","3303","HSPA1A","heat shock protein family A (Hsp70) member 1A [Source:HGNC Symbol;Acc:HGNC:5232]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"SLX4","84464","SLX4","SLX4 structure-specific endonuclease subunit [Source:HGNC Symbol;Acc:HGNC:23845]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"PSPN","5623","PSPN","persephin [Source:HGNC Symbol;Acc:HGNC:9579]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"MAPK1","5594","MAPK1","mitogen-activated protein kinase 1 [Source:HGNC Symbol;Acc:HGNC:6871]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"FBXL4","26235","FBXL4","F-box and leucine rich repeat protein 4 [Source:HGNC Symbol;Acc:HGNC:13601]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"CD14","929","CD14","CD14 molecule [Source:HGNC Symbol;Acc:HGNC:1628]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"TAX1BP3","30851","TAX1BP3","Tax1 binding protein 3 [Source:HGNC Symbol;Acc:HGNC:30684]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"ABLIM1","3983","ABLIM1","actin binding LIM protein 1 [Source:HGNC Symbol;Acc:HGNC:78]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"COL15A1","1306","COL15A1","collagen type XV alpha 1 chain [Source:HGNC Symbol;Acc:HGNC:2192]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"E2348C_3231","None","None","None",""
"NLRP4","147945","NLRP4","NLR family pyrin domain containing 4 [Source:HGNC Symbol;Acc:HGNC:22943]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"SMG1","23049","SMG1","SMG1 nonsense mediated mRNA decay associated PI3K related kinase [Source:HGNC Symbol;Acc:HGNC:30045]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"CD2AP","23607","CD2AP","CD2 associated protein [Source:HGNC Symbol;Acc:HGNC:14258]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"POGLUT1","56983","POGLUT1","protein O-glucosyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:22954]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"UNIPROTKB:Q6NZ44","None","None","None",""
"UNIPROTKB:P01859","None","None","None",""
"EIF4EBP2","1979","EIF4EBP2","eukaryotic translation initiation factor 4E binding protein 2 [Source:HGNC Symbol;Acc:HGNC:3289]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"CT45A9","102723680","CT45A9","cancer/testis antigen family 45 member A9 [Source:HGNC Symbol;Acc:HGNC:51262]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"KANK2","25959","KANK2","KN motif and ankyrin repeat domains 2 [Source:HGNC Symbol;Acc:HGNC:29300]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"GRIA2","2891","GRIA2","glutamate ionotropic receptor AMPA type subunit 2 [Source:HGNC Symbol;Acc:HGNC:4572]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
